timestamp,district_id,water_liters,waste_kg
2020-05-03 00:00:00,D01,7610.4,188.5
2020-05-03 00:00:00,D02,8869.9,159.8
2020-05-03 00:00:00,D03,8562.5,166.3
2020-05-03 00:00:00,D04,5728.8,168.3
2020-05-03 00:00:00,D05,9063.9,254.3
2020-05-03 00:00:00,D06,6686.0,191.9
2020-05-03 00:00:00,D07,5094.4,146.8
2020-05-03 00:00:00,D08,6653.4,113.9
2020-05-03 00:00:00,D09,5963.2,207.7
2020-05-03 00:00:00,D10,8426.9,186.1
2020-05-03 01:00:00,D01,6864.9,163.2
2020-05-03 01:00:00,D02,7187.4,120.6
2020-05-03 01:00:00,D03,7393.3,251.8
2020-05-03 01:00:00,D04,5328.9,194.7
2020-05-03 01:00:00,D05,9437.5,229.1
2020-05-03 01:00:00,D06,7166.4,165.8
2020-05-03 01:00:00,D07,7366.7,166.3
2020-05-03 01:00:00,D08,6679.2,153.7
2020-05-03 01:00:00,D09,7641.7,177.6
2020-05-03 01:00:00,D10,7380.5,269.4
2020-05-03 02:00:00,D01,8921.4,191.8
2020-05-03 02:00:00,D02,7046.2,157.6
2020-05-03 02:00:00,D03,7492.0,187.7
2020-05-03 02:00:00,D04,6160.7,179.7
2020-05-03 02:00:00,D05,9610.7,200.6
2020-05-03 02:00:00,D06,6043.2,188.9
2020-05-03 02:00:00,D07,6591.2,150.7
2020-05-03 02:00:00,D08,6848.0,168.0
2020-05-03 02:00:00,D09,7519.0,215.1
2020-05-03 02:00:00,D10,9208.0,165.9
2020-05-03 03:00:00,D01,8904.3,182.6
2020-05-03 03:00:00,D02,6174.7,262.5
2020-05-03 03:00:00,D03,7539.5,237.9
2020-05-03 03:00:00,D04,5844.5,139.1
2020-05-03 03:00:00,D05,10435.2,264.2
2020-05-03 03:00:00,D06,7841.5,199.7
2020-05-03 03:00:00,D07,5677.6,137.7
2020-05-03 03:00:00,D08,8025.4,198.8
2020-05-03 03:00:00,D09,7137.9,184.1
2020-05-03 03:00:00,D10,10149.6,221.2
2020-05-03 04:00:00,D01,8341.1,229.6
2020-05-03 04:00:00,D02,7188.2,215.5
2020-05-03 04:00:00,D03,7599.6,173.4
2020-05-03 04:00:00,D04,7282.1,143.1
2020-05-03 04:00:00,D05,9578.4,260.6
2020-05-03 04:00:00,D06,6674.6,194.3
2020-05-03 04:00:00,D07,6398.8,183.0
2020-05-03 04:00:00,D08,6990.4,204.6
2020-05-03 04:00:00,D09,7252.2,200.5
2020-05-03 04:00:00,D10,10158.0,341.4
2020-05-03 05:00:00,D01,9074.9,205.7
2020-05-03 05:00:00,D02,6223.7,188.4
2020-05-03 05:00:00,D03,7384.6,163.0
2020-05-03 05:00:00,D04,6315.7,171.4
2020-05-03 05:00:00,D05,11556.0,314.7
2020-05-03 05:00:00,D06,6859.6,210.3
2020-05-03 05:00:00,D07,5666.7,167.1
2020-05-03 05:00:00,D08,7175.2,198.2
2020-05-03 05:00:00,D09,8193.3,227.3
2020-05-03 05:00:00,D10,8850.2,160.0
2020-05-03 06:00:00,D01,25680.9,389.0
2020-05-03 06:00:00,D02,25282.2,335.8
2020-05-03 06:00:00,D03,29325.5,437.1
2020-05-03 06:00:00,D04,24750.0,276.2
2020-05-03 06:00:00,D05,30619.0,542.1
2020-05-03 06:00:00,D06,26314.5,400.4
2020-05-03 06:00:00,D07,24157.7,295.2
2020-05-03 06:00:00,D08,20191.0,301.8
2020-05-03 06:00:00,D09,25888.4,435.5
2020-05-03 06:00:00,D10,28509.9,585.0
2020-05-03 07:00:00,D01,28226.4,558.0
2020-05-03 07:00:00,D02,25495.8,320.9
2020-05-03 07:00:00,D03,28078.4,522.0
2020-05-03 07:00:00,D04,19868.0,414.0
2020-05-03 07:00:00,D05,35458.7,466.5
2020-05-03 07:00:00,D06,26316.0,299.0
2020-05-03 07:00:00,D07,17789.6,417.4
2020-05-03 07:00:00,D08,21327.7,361.5
2020-05-03 07:00:00,D09,21631.2,431.3
2020-05-03 07:00:00,D10,26561.3,503.8
2020-05-03 08:00:00,D01,33429.3,375.6
2020-05-03 08:00:00,D02,26458.6,302.9
2020-05-03 08:00:00,D03,24005.6,339.0
2020-05-03 08:00:00,D04,24143.8,449.2
2020-05-03 08:00:00,D05,128902.5,649.6
2020-05-03 08:00:00,D06,27077.7,283.5
2020-05-03 08:00:00,D07,25588.8,359.4
2020-05-03 08:00:00,D08,25016.5,275.7
2020-05-03 08:00:00,D09,27929.2,409.6
2020-05-03 08:00:00,D10,27168.9,468.7
2020-05-03 09:00:00,D01,32706.8,669.0
2020-05-03 09:00:00,D02,22474.4,637.5
2020-05-03 09:00:00,D03,24583.8,625.1
2020-05-03 09:00:00,D04,19762.9,572.9
2020-05-03 09:00:00,D05,37195.5,581.4
2020-05-03 09:00:00,D06,26785.1,531.9
2020-05-03 09:00:00,D07,23557.3,306.9
2020-05-03 09:00:00,D08,24791.2,462.1
2020-05-03 09:00:00,D09,22177.6,584.5
2020-05-03 09:00:00,D10,35141.4,745.7
2020-05-03 10:00:00,D01,19705.3,507.5
2020-05-03 10:00:00,D02,16280.2,432.2
2020-05-03 10:00:00,D03,22646.6,580.0
2020-05-03 10:00:00,D04,16081.6,431.9
2020-05-03 10:00:00,D05,25533.6,559.3
2020-05-03 10:00:00,D06,15671.3,374.8
2020-05-03 10:00:00,D07,18173.4,341.5
2020-05-03 10:00:00,D08,14452.7,367.8
2020-05-03 10:00:00,D09,15073.4,442.1
2020-05-03 10:00:00,D10,22991.9,714.0
2020-05-03 11:00:00,D01,18945.2,630.6
2020-05-03 11:00:00,D02,16631.3,477.2
2020-05-03 11:00:00,D03,20421.8,634.1
2020-05-03 11:00:00,D04,16448.7,430.1
2020-05-03 11:00:00,D05,23281.6,614.9
2020-05-03 11:00:00,D06,17314.7,553.3
2020-05-03 11:00:00,D07,14769.6,487.3
2020-05-03 11:00:00,D08,14699.7,463.3
2020-05-03 11:00:00,D09,16995.7,418.1
2020-05-03 11:00:00,D10,19616.5,494.5
2020-05-03 12:00:00,D01,17947.5,559.8
2020-05-03 12:00:00,D02,17465.4,332.6
2020-05-03 12:00:00,D03,23713.8,406.2
2020-05-03 12:00:00,D04,14517.8,305.2
2020-05-03 12:00:00,D05,21508.9,557.1
2020-05-03 12:00:00,D06,16905.7,331.5
2020-05-03 12:00:00,D07,13177.9,364.2
2020-05-03 12:00:00,D08,16167.1,309.5
2020-05-03 12:00:00,D09,19467.8,311.1
2020-05-03 12:00:00,D10,24246.5,382.2
2020-05-03 13:00:00,D01,19210.6,604.7
2020-05-03 13:00:00,D02,18843.6,425.0
2020-05-03 13:00:00,D03,19522.8,409.3
2020-05-03 13:00:00,D04,16538.7,379.9
2020-05-03 13:00:00,D05,27488.9,767.0
2020-05-03 13:00:00,D06,16677.0,449.6
2020-05-03 13:00:00,D07,16889.4,355.9
2020-05-03 13:00:00,D08,18156.5,468.3
2020-05-03 13:00:00,D09,17554.4,355.4
2020-05-03 13:00:00,D10,23978.1,632.6
2020-05-03 14:00:00,D01,19144.2,625.6
2020-05-03 14:00:00,D02,18096.6,375.9
2020-05-03 14:00:00,D03,20145.1,598.7
2020-05-03 14:00:00,D04,16907.5,454.8
2020-05-03 14:00:00,D05,24899.7,735.5
2020-05-03 14:00:00,D06,18936.8,534.2
2020-05-03 14:00:00,D07,15017.9,375.1
2020-05-03 14:00:00,D08,15636.3,397.2
2020-05-03 14:00:00,D09,17567.6,414.7
2020-05-03 14:00:00,D10,21713.8,546.1
2020-05-03 15:00:00,D01,80598.5,526.0
2020-05-03 15:00:00,D02,20562.1,339.3
2020-05-03 15:00:00,D03,19886.4,570.0
2020-05-03 15:00:00,D04,17936.6,302.5
2020-05-03 15:00:00,D05,26182.9,552.3
2020-05-03 15:00:00,D06,17448.9,502.7
2020-05-03 15:00:00,D07,15259.2,786.1
2020-05-03 15:00:00,D08,18070.0,298.4
2020-05-03 15:00:00,D09,19477.8,362.7
2020-05-03 15:00:00,D10,20868.5,652.0
2020-05-03 16:00:00,D01,47465.6,508.4
2020-05-03 16:00:00,D02,15976.7,340.0
2020-05-03 16:00:00,D03,21425.0,378.4
2020-05-03 16:00:00,D04,14638.0,383.9
2020-05-03 16:00:00,D05,24041.3,597.3
2020-05-03 16:00:00,D06,15115.1,349.8
2020-05-03 16:00:00,D07,50418.6,285.6
2020-05-03 16:00:00,D08,17514.5,344.6
2020-05-03 16:00:00,D09,17034.8,429.8
2020-05-03 16:00:00,D10,23838.2,438.8
2020-05-03 17:00:00,D01,18982.0,466.7
2020-05-03 17:00:00,D02,17247.5,394.6
2020-05-03 17:00:00,D03,21636.6,505.6
2020-05-03 17:00:00,D04,14742.0,341.8
2020-05-03 17:00:00,D05,23663.8,414.4
2020-05-03 17:00:00,D06,16989.2,350.6
2020-05-03 17:00:00,D07,16173.5,353.0
2020-05-03 17:00:00,D08,14926.0,309.0
2020-05-03 17:00:00,D09,20005.5,409.6
2020-05-03 17:00:00,D10,24311.1,362.7
2020-05-03 18:00:00,D01,26657.0,340.1
2020-05-03 18:00:00,D02,18931.7,462.4
2020-05-03 18:00:00,D03,20382.0,350.3
2020-05-03 18:00:00,D04,19636.0,248.2
2020-05-03 18:00:00,D05,27512.8,573.6
2020-05-03 18:00:00,D06,19729.5,460.3
2020-05-03 18:00:00,D07,19961.6,290.6
2020-05-03 18:00:00,D08,19090.1,367.2
2020-05-03 18:00:00,D09,17876.9,312.8
2020-05-03 18:00:00,D10,22480.5,438.1
2020-05-03 19:00:00,D01,21334.6,506.9
2020-05-03 19:00:00,D02,19367.5,481.0
2020-05-03 19:00:00,D03,25629.8,455.1
2020-05-03 19:00:00,D04,16023.7,376.4
2020-05-03 19:00:00,D05,23863.2,563.7
2020-05-03 19:00:00,D06,16896.9,322.9
2020-05-03 19:00:00,D07,16969.8,383.7
2020-05-03 19:00:00,D08,16804.5,386.0
2020-05-03 19:00:00,D09,16307.9,298.6
2020-05-03 19:00:00,D10,24063.7,545.3
2020-05-03 20:00:00,D01,23766.1,413.4
2020-05-03 20:00:00,D02,20786.0,429.3
2020-05-03 20:00:00,D03,24663.6,505.1
2020-05-03 20:00:00,D04,19616.2,294.9
2020-05-03 20:00:00,D05,30266.9,566.6
2020-05-03 20:00:00,D06,20803.2,296.7
2020-05-03 20:00:00,D07,17518.2,283.4
2020-05-03 20:00:00,D08,18693.0,402.3
2020-05-03 20:00:00,D09,22662.5,418.7
2020-05-03 20:00:00,D10,27170.1,418.1
2020-05-03 21:00:00,D01,19508.2,485.9
2020-05-03 21:00:00,D02,44916.6,436.6
2020-05-03 21:00:00,D03,22527.7,430.2
2020-05-03 21:00:00,D04,19831.2,238.8
2020-05-03 21:00:00,D05,29611.7,487.3
2020-05-03 21:00:00,D06,17482.6,343.6
2020-05-03 21:00:00,D07,16893.3,272.7
2020-05-03 21:00:00,D08,15512.0,445.0
2020-05-03 21:00:00,D09,22221.8,414.3
2020-05-03 21:00:00,D10,27071.4,401.8
2020-05-03 22:00:00,D01,26717.8,227.8
2020-05-03 22:00:00,D02,17623.8,197.6
2020-05-03 22:00:00,D03,18669.7,252.5
2020-05-03 22:00:00,D04,17542.3,130.0
2020-05-03 22:00:00,D05,29247.1,209.7
2020-05-03 22:00:00,D06,16904.5,167.5
2020-05-03 22:00:00,D07,16790.5,148.8
2020-05-03 22:00:00,D08,15889.5,176.3
2020-05-03 22:00:00,D09,20907.3,138.7
2020-05-03 22:00:00,D10,25817.6,241.1
2020-05-03 23:00:00,D01,8698.4,276.4
2020-05-03 23:00:00,D02,8798.9,189.4
2020-05-03 23:00:00,D03,7961.2,167.9
2020-05-03 23:00:00,D04,5748.2,218.9
2020-05-03 23:00:00,D05,9410.2,282.4
2020-05-03 23:00:00,D06,7383.0,155.4
2020-05-03 23:00:00,D07,5952.6,176.0
2020-05-03 23:00:00,D08,6018.9,189.6
2020-05-03 23:00:00,D09,7046.0,244.8
2020-05-03 23:00:00,D10,9713.4,222.0
2020-05-04 00:00:00,D01,8873.6,209.4
2020-05-04 00:00:00,D02,6197.0,164.8
2020-05-04 00:00:00,D03,8501.8,203.4
2020-05-04 00:00:00,D04,6966.1,101.1
2020-05-04 00:00:00,D05,8412.3,226.8
2020-05-04 00:00:00,D06,5751.5,229.2
2020-05-04 00:00:00,D07,4130.1,191.4
2020-05-04 00:00:00,D08,6468.1,163.7
2020-05-04 00:00:00,D09,6011.0,206.1
2020-05-04 00:00:00,D10,9268.2,200.9
2020-05-04 01:00:00,D01,7217.6,254.3
2020-05-04 01:00:00,D02,6298.3,170.9
2020-05-04 01:00:00,D03,6457.0,257.7
2020-05-04 01:00:00,D04,7020.7,357.3
2020-05-04 01:00:00,D05,8463.1,239.7
2020-05-04 01:00:00,D06,6153.9,229.9
2020-05-04 01:00:00,D07,6077.0,171.8
2020-05-04 01:00:00,D08,7471.2,174.7
2020-05-04 01:00:00,D09,5858.9,204.5
2020-05-04 01:00:00,D10,6978.8,279.2
2020-05-04 02:00:00,D01,8129.6,216.6
2020-05-04 02:00:00,D02,7267.1,232.3
2020-05-04 02:00:00,D03,8077.7,137.5
2020-05-04 02:00:00,D04,6520.2,143.6
2020-05-04 02:00:00,D05,7771.0,192.5
2020-05-04 02:00:00,D06,6258.7,214.2
2020-05-04 02:00:00,D07,5403.4,146.9
