timestamp,district_id,vehicle_count,avg_speed_kmh,incident_flag
2020-05-03 00:00:00,D01,152,57.2,0
2020-05-03 00:00:00,D02,99,54.3,0
2020-05-03 00:00:00,D03,105,58.1,0
2020-05-03 00:00:00,D04,94,58.1,0
2020-05-03 00:00:00,D05,130,64.6,0
2020-05-03 00:00:00,D06,87,59.6,0
2020-05-03 00:00:00,D07,88,61.2,0
2020-05-03 00:00:00,D08,81,56.4,0
2020-05-03 00:00:00,D09,102,60.2,0
2020-05-03 00:00:00,D10,175,49.0,0
2020-05-03 01:00:00,D01,137,60.6,0
2020-05-03 01:00:00,D02,94,55.4,0
2020-05-03 01:00:00,D03,99,54.3,0
2020-05-03 01:00:00,D04,75,57.8,0
2020-05-03 01:00:00,D05,131,59.4,0
2020-05-03 01:00:00,D06,86,57.5,0
2020-05-03 01:00:00,D07,104,54.5,0
2020-05-03 01:00:00,D08,109,59.0,0
2020-05-03 01:00:00,D09,96,55.4,0
2020-05-03 01:00:00,D10,179,55.4,0
2020-05-03 02:00:00,D01,144,54.6,0
2020-05-03 02:00:00,D02,103,58.1,0
2020-05-03 02:00:00,D03,98,57.4,0
2020-05-03 02:00:00,D04,76,58.7,0
2020-05-03 02:00:00,D05,113,65.1,0
2020-05-03 02:00:00,D06,78,54.9,0
2020-05-03 02:00:00,D07,110,61.6,0
2020-05-03 02:00:00,D08,94,49.9,0
2020-05-03 02:00:00,D09,104,54.1,0
2020-05-03 02:00:00,D10,141,57.4,0
2020-05-03 03:00:00,D01,159,55.9,0
2020-05-03 03:00:00,D02,89,59.5,0
2020-05-03 03:00:00,D03,112,56.3,0
2020-05-03 03:00:00,D04,75,58.1,0
2020-05-03 03:00:00,D05,140,56.5,0
2020-05-03 03:00:00,D06,82,58.2,0
2020-05-03 03:00:00,D07,93,58.2,0
2020-05-03 03:00:00,D08,86,57.6,0
2020-05-03 03:00:00,D09,112,56.4,0
2020-05-03 03:00:00,D10,143,56.0,0
2020-05-03 04:00:00,D01,153,57.2,0
2020-05-03 04:00:00,D02,93,58.6,0
2020-05-03 04:00:00,D03,113,55.4,0
2020-05-03 04:00:00,D04,93,55.0,0
2020-05-03 04:00:00,D05,112,52.4,0
2020-05-03 04:00:00,D06,100,63.0,0
2020-05-03 04:00:00,D07,111,53.7,0
2020-05-03 04:00:00,D08,92,55.4,0
2020-05-03 04:00:00,D09,110,59.7,0
2020-05-03 04:00:00,D10,151,52.3,0
2020-05-03 05:00:00,D01,146,51.4,0
2020-05-03 05:00:00,D02,108,55.9,0
2020-05-03 05:00:00,D03,116,60.2,0
2020-05-03 05:00:00,D04,91,57.8,0
2020-05-03 05:00:00,D05,129,63.5,0
2020-05-03 05:00:00,D06,83,60.1,0
2020-05-03 05:00:00,D07,90,54.1,0
2020-05-03 05:00:00,D08,89,58.2,0
2020-05-03 05:00:00,D09,92,53.0,0
2020-05-03 05:00:00,D10,158,58.0,0
2020-05-03 06:00:00,D01,752,41.2,0
2020-05-03 06:00:00,D02,409,52.1,0
2020-05-03 06:00:00,D03,481,53.8,0
2020-05-03 06:00:00,D04,440,54.6,0
2020-05-03 06:00:00,D05,595,45.8,0
2020-05-03 06:00:00,D06,434,52.4,0
2020-05-03 06:00:00,D07,512,47.1,0
2020-05-03 06:00:00,D08,494,49.2,0
2020-05-03 06:00:00,D09,498,43.9,0
2020-05-03 06:00:00,D10,746,40.4,0
2020-05-03 07:00:00,D01,767,44.0,0
2020-05-03 07:00:00,D02,476,43.8,0
2020-05-03 07:00:00,D03,566,47.2,0
2020-05-03 07:00:00,D04,384,51.7,0
2020-05-03 07:00:00,D05,567,48.7,0
2020-05-03 07:00:00,D06,389,46.5,0
2020-05-03 07:00:00,D07,509,43.2,0
2020-05-03 07:00:00,D08,519,51.0,0
2020-05-03 07:00:00,D09,476,49.6,0
2020-05-03 07:00:00,D10,778,41.0,0
2020-05-03 08:00:00,D01,1369,23.7,0
2020-05-03 08:00:00,D02,946,37.0,0
2020-05-03 08:00:00,D03,1059,32.3,0
2020-05-03 08:00:00,D04,776,44.9,0
2020-05-03 08:00:00,D05,1138,29.8,0
2020-05-03 08:00:00,D06,820,40.4,0
2020-05-03 08:00:00,D07,1020,38.9,0
2020-05-03 08:00:00,D08,905,41.0,0
2020-05-03 08:00:00,D09,1028,34.9,0
2020-05-03 08:00:00,D10,1399,29.6,0
2020-05-03 09:00:00,D01,1187,35.1,0
2020-05-03 09:00:00,D02,743,43.3,0
2020-05-03 09:00:00,D03,1029,37.6,0
2020-05-03 09:00:00,D04,862,39.5,0
2020-05-03 09:00:00,D05,1346,32.3,0
2020-05-03 09:00:00,D06,893,39.2,0
2020-05-03 09:00:00,D07,868,35.8,0
2020-05-03 09:00:00,D08,765,43.8,0
2020-05-03 09:00:00,D09,848,37.3,0
2020-05-03 09:00:00,D10,1498,29.3,0
2020-05-03 10:00:00,D01,1127,35.2,0
2020-05-03 10:00:00,D02,939,32.5,0
2020-05-03 10:00:00,D03,919,41.4,0
2020-05-03 10:00:00,D04,782,42.8,0
2020-05-03 10:00:00,D05,1092,36.9,0
2020-05-03 10:00:00,D06,882,39.8,0
2020-05-03 10:00:00,D07,1055,39.3,0
2020-05-03 10:00:00,D08,838,38.6,0
2020-05-03 10:00:00,D09,966,40.5,0
2020-05-03 10:00:00,D10,1607,23.9,0
2020-05-03 11:00:00,D01,777,37.0,0
2020-05-03 11:00:00,D02,514,42.9,0
2020-05-03 11:00:00,D03,497,47.6,0
2020-05-03 11:00:00,D04,393,48.5,0
2020-05-03 11:00:00,D05,619,39.9,0
2020-05-03 11:00:00,D06,474,45.4,0
2020-05-03 11:00:00,D07,466,48.7,0
2020-05-03 11:00:00,D08,534,45.2,0
2020-05-03 11:00:00,D09,612,52.8,0
2020-05-03 11:00:00,D10,702,41.8,0
2020-05-03 12:00:00,D01,991,40.6,0
2020-05-03 12:00:00,D02,578,51.5,0
2020-05-03 12:00:00,D03,595,44.7,0
2020-05-03 12:00:00,D04,456,47.7,0
2020-05-03 12:00:00,D05,858,38.7,0
2020-05-03 12:00:00,D06,615,45.3,0
2020-05-03 12:00:00,D07,682,43.1,0
2020-05-03 12:00:00,D08,620,42.2,0
2020-05-03 12:00:00,D09,686,45.2,0
2020-05-03 12:00:00,D10,858,39.1,0
2020-05-03 13:00:00,D01,792,48.8,0
2020-05-03 13:00:00,D02,589,49.2,0
2020-05-03 13:00:00,D03,568,45.8,0
2020-05-03 13:00:00,D04,447,51.4,0
2020-05-03 13:00:00,D05,884,41.2,0
2020-05-03 13:00:00,D06,548,50.6,0
2020-05-03 13:00:00,D07,536,42.4,0
2020-05-03 13:00:00,D08,534,43.9,0
2020-05-03 13:00:00,D09,691,41.5,0
2020-05-03 13:00:00,D10,857,40.2,0
2020-05-03 14:00:00,D01,911,28.5,0
2020-05-03 14:00:00,D02,591,43.8,0
2020-05-03 14:00:00,D03,711,47.6,0
2020-05-03 14:00:00,D04,513,44.8,0
2020-05-03 14:00:00,D05,736,43.7,0
2020-05-03 14:00:00,D06,565,47.9,0
2020-05-03 14:00:00,D07,676,45.6,0
2020-05-03 14:00:00,D08,634,47.5,0
2020-05-03 14:00:00,D09,686,47.2,0
2020-05-03 14:00:00,D10,1006,41.4,0
2020-05-03 15:00:00,D01,646,44.0,0
2020-05-03 15:00:00,D02,515,45.6,0
2020-05-03 15:00:00,D03,485,50.1,0
2020-05-03 15:00:00,D04,420,51.5,0
2020-05-03 15:00:00,D05,562,49.5,0
2020-05-03 15:00:00,D06,514,43.7,0
2020-05-03 15:00:00,D07,530,50.0,0
2020-05-03 15:00:00,D08,485,44.8,0
2020-05-03 15:00:00,D09,585,47.3,0
2020-05-03 15:00:00,D10,789,40.6,0
2020-05-03 16:00:00,D01,820,44.7,0
2020-05-03 16:00:00,D02,542,43.2,0
2020-05-03 16:00:00,D03,475,49.6,0
2020-05-03 16:00:00,D04,365,52.8,0
2020-05-03 16:00:00,D05,620,44.6,0
2020-05-03 16:00:00,D06,461,49.9,0
2020-05-03 16:00:00,D07,486,47.3,0
2020-05-03 16:00:00,D08,533,48.1,0
2020-05-03 16:00:00,D09,616,46.9,0
2020-05-03 16:00:00,D10,668,43.0,0
2020-05-03 17:00:00,D01,1171,32.6,0
2020-05-03 17:00:00,D02,985,31.2,0
2020-05-03 17:00:00,D03,1082,29.9,0
2020-05-03 17:00:00,D04,917,37.6,0
2020-05-03 17:00:00,D05,1226,28.0,0
2020-05-03 17:00:00,D06,930,38.0,0
2020-05-03 17:00:00,D07,1025,39.7,0
2020-05-03 17:00:00,D08,849,44.3,0
2020-05-03 17:00:00,D09,1164,32.5,0
2020-05-03 17:00:00,D10,1679,17.8,0
2020-05-03 18:00:00,D01,1335,25.5,0
2020-05-03 18:00:00,D02,850,45.4,0
2020-05-03 18:00:00,D03,1174,35.6,0
2020-05-03 18:00:00,D04,733,42.5,0
2020-05-03 18:00:00,D05,1146,33.8,0
2020-05-03 18:00:00,D06,821,40.4,0
2020-05-03 18:00:00,D07,1074,36.7,0
2020-05-03 18:00:00,D08,825,40.9,0
2020-05-03 18:00:00,D09,1139,35.8,0
2020-05-03 18:00:00,D10,1635,24.4,0
2020-05-03 19:00:00,D01,1475,23.1,0
2020-05-03 19:00:00,D02,784,42.9,0
2020-05-03 19:00:00,D03,1155,37.1,0
2020-05-03 19:00:00,D04,793,43.2,0
2020-05-03 19:00:00,D05,1110,35.5,0
2020-05-03 19:00:00,D06,837,38.4,0
2020-05-03 19:00:00,D07,881,37.4,0
2020-05-03 19:00:00,D08,934,38.4,0
2020-05-03 19:00:00,D09,954,36.1,0
2020-05-03 19:00:00,D10,1462,29.2,0
2020-05-03 20:00:00,D01,614,45.3,0
2020-05-03 20:00:00,D02,477,46.9,0
2020-05-03 20:00:00,D03,556,50.2,0
2020-05-03 20:00:00,D04,465,46.0,0
2020-05-03 20:00:00,D05,715,43.4,0
2020-05-03 20:00:00,D06,396,49.1,0
2020-05-03 20:00:00,D07,470,56.4,0
2020-05-03 20:00:00,D08,509,48.2,0
2020-05-03 20:00:00,D09,549,44.7,0
2020-05-03 20:00:00,D10,745,42.9,0
2020-05-03 21:00:00,D01,619,45.2,0
2020-05-03 21:00:00,D02,427,48.0,0
2020-05-03 21:00:00,D03,550,50.3,0
2020-05-03 21:00:00,D04,382,53.1,0
2020-05-03 21:00:00,D05,594,47.1,0
2020-05-03 21:00:00,D06,477,46.6,0
2020-05-03 21:00:00,D07,438,55.3,0
2020-05-03 21:00:00,D08,533,48.8,0
2020-05-03 21:00:00,D09,574,45.0,0
2020-05-03 21:00:00,D10,853,43.6,0
2020-05-03 22:00:00,D01,125,57.5,0
2020-05-03 22:00:00,D02,105,60.4,0
2020-05-03 22:00:00,D03,106,58.8,0
2020-05-03 22:00:00,D04,89,64.5,0
2020-05-03 22:00:00,D05,115,54.3,0
2020-05-03 22:00:00,D06,97,56.2,0
2020-05-03 22:00:00,D07,106,66.4,0
2020-05-03 22:00:00,D08,102,57.4,0
2020-05-03 22:00:00,D09,99,54.3,0
2020-05-03 22:00:00,D10,164,57.9,0
